title,authors,isbn
The Histories,Herodotus,192824252
The Subterraneans,Jack Kerouac,141184892
Die Naschkatzen,Jennifer Crusie,3442448964
Sometimes a Great Notion,Ken Kesey,143039865
The Power of Truth: A Leading with Emotional Intelligence Conversation with Warren Bennis,Daniel Goleman,1593979746
Firefly,Piers Anthony,380759500
The Sword of Welleran and Other Stories,Lord Dunsany,486442179
Grizzwold,Syd Hoff,64440575
Word of Honor,Nelson DeMille,446674826
The 500 Hats of Bartholomew Cubbins,Dr. Seuss,394844841
Six Characters in Search of an Author and Other Plays,Luigi Pirandello,140189223
Switch on the Night,Ray Bradbury,553112449
My Life in France,Julia Child,1400043468
The Scarlet Letter,Nathaniel Hawthorne,743264691
Peter Pan in Kensington Gardens / Peter and Wendy,J.M. Barrie,192839292
Silent Spring,Rachel Carson,618249060
Geisha of Gion,Mineko Iwasaki,743430592
The Little Fire Engine,Lois Lenski,375810706
The Black Marble,Joseph Wambaugh,440613965
II Maccabees,Anonymous,385048645
The Lovely Bones,Alice Sebold,330485385
The Manhattan Hunt Club,John Saul,345490649
Star Wars: Clone Wars  Volume 6: On the Fields of Battle,John Ostrander,1593073526
Hannibal's Children,John Maddox Roberts,441010385
Lectures on Don Quixote,Vladimir Nabokov,156495406
The House of the Spirits,Isabel Allende,1400043182
Dracula,Bram Stoker,744586534
Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,1563410907
Congo,Michael Crichton,60541830
The Metaphysical Club,Louis Menand,7126905
A Yellow Raft in Blue Water,Michael Dorris,312421850
Young Goodman Brown and Other Short Stories,Nathaniel Hawthorne,486270602
The Thirteenth Tribe,Arthur Koestler,330250698
The Zebra Wall,Kevin Henkes,60733039
Situationist International Anthology: Revised and Expanded Edition,Ken Knabb,939682044
A Midsummer Night's Dream,William Shakespeare,198321503
The Last Joy,Knut Hamsun,1931243190
Broken Vessels,Andre Dubus,879239484
Just as Long as We're Together,Judy Blume,330398040
The Year of Magical Thinking,Joan Didion,1400078431
Atlantic Shift,Emily Barr,755301943
The Picture of Dorian Gray,Oscar Wilde,1420925288
The New Annotated Sherlock Holmes: The Complete Short Stories,Arthur Conan Doyle,393059162
Identity,Milan Kundera,60175648
The Radicalism of the American Revolution,Gordon S. Wood,679736883
The Iliad,Homer,451527372
Charade,Sandra Brown,446601853
A Visitation of Spirits,Randall Kenan,375703977
More Classic Italian Cooking,Marcella Hazan,345314034
